"ID","sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"1","YXIN04","YXIN01",0,0.346936168506922,0,0.249659613073281,0.403404218419797
"2","YXIN07","YXIN01",0,0.227086400762654,0.318568192931498,0.101702770169778,0.35264263613607
"3","YXIN10","YXIN01",0,0.225314250750149,0.286438729016792,0.10001391701605,0.388233103217009
"4","YXIN13","YXIN01",0.0693236907565833,0.121593649136302,0.775825701053921,0,0.0332569590531931
"5","YXIN16","YXIN01",0.00488380008871554,0.124264283786354,0.846742836960706,0,0.0241090791642246
"6","YXIN19","YXIN01",0,0.253390211577408,0.144642559690266,0.0361657552906231,0.565801473441703
"7","YXIN22","YXIN01",0.0402680755869172,0.0477236921259016,0.798021223582582,0,0.113987008704599
"8","YXIN25","YXIN01",0.00602188984020659,0.105482956963084,0.830571515451892,0,0.0579236377448176
"9","YXIN28","YXIN01",0,0.10205348541967,0.824050526115287,0,0.0738959884650436
"10","YXIN07","YXIN04",0,0.291515610057525,0.165182593052767,0.108906572178138,0.43439522471157
"11","YXIN10","YXIN04",0,0.290408261199152,0.162816201415974,0.097306524320049,0.449469013064825
"12","YXIN13","YXIN04",0.0880213248875312,0.203224062477106,0.595106929938678,0,0.113647682696685
"13","YXIN16","YXIN04",0.0613064389774599,0.205894697127157,0.607690301277217,0,0.125108562618166
"14","YXIN19","YXIN04",0,0.326102360026766,0.165736387308604,0.0743488814901167,0.433812371174513
"15","YXIN22","YXIN04",0.0641151825579877,0.203475511394366,0.58502722389982,0,0.147382082147826
"16","YXIN25","YXIN04",0,0.0707202700923931,0.768432839023871,0,0.160846890883736
"17","YXIN28","YXIN04",0,0.0936944843889005,0.696401047648399,0,0.2099044679627
"18","YXIN10","YXIN07",0,0.125546763697653,0,0.865708176671436,0.0087450596309106
"19","YXIN13","YXIN07",0.0473289551153913,0.124900680299981,0.770614583771772,0,0.0571557808128557
"20","YXIN16","YXIN07",0.0481243520900744,0.0497191863170481,0.858171030420583,0,0.0439854311722942
"21","YXIN19","YXIN07",0,0.264276622663988,0.0911498263857033,0.1108302984303,0.533743252520009
"22","YXIN22","YXIN07",0.0481562323540605,0.0514734013999512,0.853247470552819,0,0.0471228956931694
"23","YXIN25","YXIN07",0.037981129273136,0.117887265576438,0.795740529503989,0,0.0483910756464376
"24","YXIN28","YXIN07",0.0247875333336863,0.0829565416824886,0.849824254857108,0,0.0424316701267167
"25","YXIN13","YXIN10",0.0460190807552724,0.124117286268984,0.77360372069697,0,0.0562599122787742
"26","YXIN16","YXIN10",0.0468144777299555,0.0493241840777775,0.848459676123911,0,0.0554016620683561
"27","YXIN19","YXIN10",0,0.262504472651482,0,0.244789459317524,0.492706068030994
"28","YXIN22","YXIN10",0.0468463579939416,0.0510783991606806,0.792940249326709,0,0.109134993518668
"29","YXIN25","YXIN10",0.0366712549130172,0.116695211934354,0.799248978140524,0,0.0473845550121048
"30","YXIN28","YXIN10",0,0.130049507634936,0.797300960241978,0,0.0726495321230867
"31","YXIN16","YXIN13",0.0625684060312881,0.0587372037087237,0.0328359752318571,0.381181005243579,0.464677409784553
"32","YXIN19","YXIN13",0.0420527469772641,0.156025232032245,0.740751862370209,0,0.061170158620282
"33","YXIN22","YXIN13",0.0628809218393003,0.0604914187916269,0.0391940769591374,0.335251774033053,0.502181808376882
"34","YXIN25","YXIN13",0.0512870934628587,0.0475576572359327,0.484679429199085,0.0595354594452602,0.356940360656863
"35","YXIN28","YXIN13",0.0501121860420666,0.043832405228645,0.504424233194755,0.0583691176048061,0.343262057929728
"36","YXIN19","YXIN16",0.0428481439519472,0.100283350596126,0.781625468191012,0,0.0752430372609151
"37","YXIN22","YXIN16",0.0631698453516105,0.0653956277393113,0.00637744709741189,0.469758991936845,0.395298087874821
"38","YXIN25","YXIN16",0.0515760169751689,0.0524618661836172,0.531419564604516,0.00381425845378389,0.360728293782914
"39","YXIN28","YXIN16",0.0504011095543768,0.0487366141763295,0.396765039968316,0.00385185691510963,0.500245379385868
"40","YXIN22","YXIN19",0.0428800242159332,0.0956820818408553,0.79127986787462,0,0.0701580260685917
"41","YXIN25","YXIN19",0.041961664471871,0.0552261855278784,0.750532286503596,0,0.152279863496655
"42","YXIN28","YXIN19",0,0.0515009335205907,0.799230094690994,0,0.149268971788415
"43","YXIN25","YXIN22",0.0592107520591538,0.0542160812665203,0.360997378802406,0.00603831938065985,0.51953746849126
"44","YXIN28","YXIN22",0.0507136253623891,0.0504908292592326,0.35351478628959,0.0079873820927862,0.537293376996002
"45","YXIN28","YXIN25",0.0391197969859474,0.0375570677035385,0,0.749017506859925,0.174305628450589
